ID,Step,Distance,Azimuth,Rotation,TransitTime
3,122,3.37,311.662,64.52,3.163
3,123,3.84,233.979,225.153,3.298
3,124,2.866,11.86,13.012,3.855
3,125,1.71,358.068,88.068,3.132
3,126,1.951,241.205,168.831,3.11
3,127,1.891,100.427,88.231,3.306
3,128,0.945,24.984,204.984,4.524
3,129,2.303,179.988,329.502,3.689
3,130,3.304,200.698,94.305,3.802
3,131,3.788,123.186,227.698,3.835
3,132,4.225,240.202,169.483,3.352
3,133,4.007,84.425,330.353,3.891
3,134,4.608,127.447,322.724,3.161
3,135,5.529,167.314,77.314,3.234
3,136,5.613,99.958,35.805,3.368
3,137,5.251,74.121,66.489,3.061
3,138,4.343,9.242,77.237,3.41
3,139,4.072,278.534,149.04,3.035
3,140,4.703,138.083,215.758,3.219
3,141,4.595,270.475,329.668,3.602
3,142,4.147,287.867,42.586,3.175
3,143,4.627,234.499,151.359,3.055
3,144,4.608,94.524,137.918,3.244
3,145,3.958,306.884,84.116,3.011
3,146,4.661,215.204,-54.796,3.662
3,147,4.789,256.737,70.961,3.996
3,148,5.982,184.62,94.62,3.542
3,149,6.076,100.071,121.403,3.163
3,150,5.203,334.864,26.052,3.395
3,151,4.633,298.944,285.213,3.744
3,152,3.552,18.03,108.694,3.915
3,153,3.754,251.104,316.171,3.485
3,154,3.446,278.962,8.962,3.297
3,155,3.585,253.98,316.083,3.19
3,156,3.25,282.804,23.473,3.138
3,157,3.547,244.217,80.998,3.629
3,158,4.6,167.137,42.999,3.28
3,159,5.216,133.12,164.264,3.218
3,160,4.418,322.363,89.011,3.748
3,161,5.168,223.3,-46.7,3.991
3,162,5.305,256.956,128.332,3.209
4,1,2.933,117.791,226.418,3.504
4,2,3.417,234.42,208.745,3.206
4,3,2.584,34.953,245.682,3.885
4,4,3.635,158.706,336.104,3.914
4,5,4.808,181.964,20.828,3.887
4,6,5.923,164.784,74.784,3.992
4,7,6.043,101.436,-168.564,3.537
4,8,6.136,260.041,93.45,3.587
4,9,7.187,168.578,168.578,4.433
4,10,5.857,360,177.721,3.863
4,11,7.015,181.902,181.902,4.881
4,12,5.551,0.002,153.194,3.811
4,13,6.591,202.321,-67.679,3.914
4,14,6.695,259.899,17.551,3.511
4,15,7.244,234.951,234.951,4.261
4,16,5.966,0.002,131.143,3.723
4,17,6.753,221.701,131.701,3.779
4,18,6.848,99.528,201.062,3.194
4,19,7.102,250.874,250.874,4.631
4,20,5.713,0,287.837,3.36
4,21,5.489,82.237,320.998,3.363
4,22,6.074,129.407,99.102,3.07
4,23,5.299,35.339,105.772,3.046
4,24,5.067,279.786,157.754,3.28
4,25,5.651,130.518,-139.482,3.659
4,26,5.756,259.008,223.099,3.754
4,27,4.889,43.673,28.168,3.954
4,28,3.76,20.339,314.683,3.803
4,29,3.45,83.195,201.575,3.898
4,30,4.136,227.215,316.016,3.113
4,31,4.221,258.421,322.952,3.771
4,32,3.872,280.178,305.257,3.851
4,33,2.868,325.098,267.368,3.549
4,34,2.469,79.113,0.951,3.763
4,35,2.496,104.436,36.548,3.74
4,36,2.32,94.513,135.383,3.723
4,37,1.647,292.761,22.761,3.485
4,38,1.951,237.59,317.153,3.464
4,39,2.037,250.349,217.252,3.772
4,40,1.253,62.688,146.286,3.685
4,41,1.576,232.2,294.465,3.469
4,42,1.428,257.565,330.013,3.456
4,43,1.491,246.004,280.817,3.825
